id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
115,ОАО «Брестмаш»,http://www.bmz.by/,"г. Брест, ул. Суворова, 21 В",52.06531,23.74321,,,,,0
116,ОАО «Брестоблавтотранс»,http://oblavtotrans.brest.by/,"г. Брест, ул. Лейтенанта Рябцева, 45",52.14734,23.68899,,,,,0
117,ОАО «Брестсельмаш»,http://brestselmash.by/,"г. Брест, ул. Поплавского, 23",52.09802,23.6625,,,,,0
118,ОАО «Брестский ЛВЗ «Белалко»,https://www.brestvodka.com/,"г. Брест, ул. Советская, 2/1",52.09942,23.68679,,,,,0
119,ОАО «Брестский мясокомбинат»,https://brestmeat.by/,"г. Брест, ул. Писателя Смирнова, 4",52.094,23.64861,,,,,0
120,ОАО «Брестский радиотехнический завод»,http://www.brtz.by/,"г. Брест, ул. Московская, 248",52.09899,23.74426,,,,,0
121,ОАО «Брестский чулочный комбинат»,http://bchk.by/,"г. Брест, ул. Я.Купалы, 3",52.10844,23.73781,,,,,0
122,ОАО «Брестский электроламповый завод»,https://www.brestlamp.by/,"г. Брест, ул. Московская, 204",52.09598,23.73993,,,,,0
123,ОАО «Брестский электромеханический завод»,,"г. Брест, ул. Московская, 202",52.10261,23.77942,,,,,0
124,ОАО «Брестский электротехнический завод»,http://betz.by/,"г. Брест, ул. Строительная, 56",52.11644,23.73763,,,,,0
125,ОАО «Брестское пиво»,http://brestbeer.by/,"г. Брест, ул. Бауманская, 18",52.11393,23.64316,,,,,0
126,ОАО «Брестхлебопродукт»,http://www.brestmuka.by/,"г. Брест, ул. Поплавского, 54",52.10117,23.66447,,,,,0
127,ОАО «Ковры Бреста»,http://www.brestcarpets.by/,"г. Брест, ул. Я.Купалы, 1",52.10626,23.7342,,,,,0
128,ОАО «Савушкин продукт»,https://www.savushkin.by/,"г. Брест, ул. Я.Купалы, 118",52.10587,23.73345,,,,,0
129,ОАО «Строительный трест № 8»,http://stroytrest8.by/,"г. Брест, ул. Гоздецкого, 12",52.11486,23.78629,,,,,0
