ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Кулаковский Сергей Леонтьевич,заместитель председателя суда и судья,02.07.2015 № 299,экономический суд г. Минска,"совершение проступка, несовместимого с нахождением на государственной службе"
Полулеха Кирилл Игоревич,судья,02.07.2015 № 299,суд Советского района г. Минска,истечение срока полномочий
Попеко Людмила Михайловна,судья,02.07.2015 № 299,суд Ленинского района г. Минска,по собственному желанию
Рыбалкин Андрей Викторович,судья,02.07.2015 № 299,экономический суд г. Минска,"совершение проступка, несовместимого с нахождением на государственной службе"
Анискевич Руслан Геннадьевич,судья,15.10.2020  № 364,Верховный суд ,выход в отставку
Будник Наталья Викторовна,судья и председатель суда,15.10.2020  № 364,Суд Ляховичского района,истечение срока полномочий (оставлена в должности судьи)
Глотько Рита Иосифовна,судья и председатель суда,15.10.2020  № 364,Суд Вороновского района,истечение срока полномочий (оставлена в должности судьи)
Исаева Людмила Петровна,судья,15.10.2020  № 364,Суд Берестовицкого района,выход в отставку
Кирилович Александр Иванович,судья,15.10.2020  № 364,суд Ивацевичского района,истечение срока полномочий (оставлен в должности судьи)
Корнов Владимир Владимирович,судья,15.10.2020  № 364,Минский областной суд,выход в отставку
Кравченко Ольга Васильевна,судья,15.10.2020  № 364,Суд Московского района г. Минска,истечение срока полномочий
Кривов Андрей Валерьевич,судья,15.10.2020  № 364,Суд Столбцовского района ,по собственному желанию
Кропивко Алла Львовна,судья,15.10.2020  № 364,Минский городской суд,выход в отставку
Кулеш Виталий Эдвардович,заместитель председателя суда,15.10.2020  № 364,Гродненский областной суд,истечение срока полномочий (оставлен в должности судьи)
Левкович Алексей Михайлович,заместитель председателя суда,15.10.2020  № 364,Минский областной суд,истечение срока полномочий (оставлен в должности судьи)
Лобачевская Раиса Ивановна,судья,15.10.2020  № 364,Суд Московского района г. Бреста,выход в отставку
Малая Елена Анатольевна,судья,15.10.2020  № 364,Суд Гомельского района,по собственному желанию
Михаленко Светлана Валентиновна,судья,15.10.2020  № 364,Суд Дрогичинского района,выход в отставку
Михасева Валентина Алексеевна,судья,15.10.2020  № 364,Суд Октябрьского района г. Витебска,выход в отставку
Пацко Алексей Васильевич,судья,15.10.2020  № 364,Суд Пинского района и г. Пинска,истечение срока полномочий
Репихо Николай Викторович,судья,15.10.2020  № 364,Суд Пружанского района,выход в отставку
Степанова Наталия Викторовна,судья и председатель суда,15.10.2020  № 364,Суд Зельвенского района ,истечение срока полномочий (оставлена в должности судьи)
Степурко Владимир Михайлович,судья,15.10.2020  № 364,Минский городской суд,выход в отставку
Феоктистова Татьяна Николаевна,судья,15.10.2020  № 364,Брестский областной суд,выход в отставку
Фроленкова Лариса Андреевна,судья,15.10.2020  № 364,Минский областной суд,выход в отставку
Шумская Татьяна Ивановна,судья,15.10.2020  № 364,Суд Фрунзенского района г. Минска,выход в отставку
Щадинская Раиса Михайловна,судья,15.10.2020  № 364,Суд Оршанского района и г. Орши,выход в отставку
Южик Инесса Михайловна,судья,15.10.2020  № 364,Суд Молодечненского района,выход в отставку
Плотников Андрей Владимирович,заместитель председателя суда и судья,25.05.2017 № 185,экономический суд г. Минска,назначение на новую должность
Синкевич Ольга Николаевна,судья,25.05.2017 № 185,экономический суд г. Минска,назначение на новую должность
Буянкова Леонора Михайловна,судья,31.12.2013 № 587,Гомельский областной суд ,выход в отставку
Канцедал Наталья Викторовна,заместитель председателя суда,31.12.2013 № 587,суд Октябрьского района г. Могилева,истечение срока полномочий (оставлена в должности судьи)
Комар Александр Васильевич,судья и председатель суда и судья,31.12.2013 № 587,суд Кличевского района,"совершение проступка, несовместимого с нахождением на государственной службе"
Лецко Виталий Ксенофонтович,судья,31.12.2013 № 587,суд Ленинского района г. Гродно ,по собственному желанию
Любецкая Светлана Анатольевна,судья и председатель суда и судья,31.12.2013 № 587,суд Московского района г. Минска ,перевод на другую работу
