id,parent_id,code,type,name,description,location,latitude,longitude
5414,5410,98/4,2,Участок для голосования №232,Клуб Минского облпотребсоюза,"г.Минск, ул.Володарского, 9",53.8976,27.5515
5415,5410,98/5,2,Участок для голосования №233,"ГУО ""Гимназия №41 г.Минска им.Серебряного В.Х.""","г.Минск, пер.Добромысленский, 4",53.8916,27.5388
5416,5410,98/6,2,Участок для голосования №234,"УО ""Минский государственный профессионально-технический колледж швейного производства""","г.Минск, 2-ой пер.Р.Люксембург, 7",53.8956,27.5272
5417,5410,98/7,2,Участок для голосования №235,"ГУО ""Средняя школа №60 г.Минска""","г.Минск, ул.К.Либкнехта, 82",53.8962,27.5242
5418,5410,98/8,2,Участок для голосования №236,"ГУО ""Средняя школа №60 г.Минска""","г.Минск, ул.К.Либкнехта, 82",53.8962,27.5242
5419,5410,98/9,2,Участок для голосования №237,"УО ""Центр повышения квалификации руководящих работников и специалистов МВД РБ""","г.Минск, ул.К.Либкнехта, 57",53.8949,27.5246
5420,5410,98/10,2,Участок для голосования №238,"РУП ""Белстройцентр""","г.Минск, ул.Р.Люксембург, 101",53.8913,27.5201
5421,5410,98/11,2,Участок для голосования №239,"УЗ ""4-я городская клиническая больница им.Н.Е.Савченко""","г.Минск, ул.Р.Люксембург, 110",53.8917,27.5181
5422,5410,98/12,2,Участок для голосования №240,"ГУ ""Республиканский научно-практический центр ""Кардиология"" МЗ РБ","г.Минск, ул.Р.Люксембург, 110",53.8917,27.5181
5423,5410,98/13,2,Участок для голосования №241,"ГУО ""Средняя школа №80 г.Минска""","г.Минск, ул.К.Либкнехта,114",53.8931,27.5106
5424,5410,98/14,2,Участок для голосования №242,"ГУО ""Средняя школа №80 г.Минска""","г.Минск, ул.К.Либкнехта, 114",53.8931,27.5106
5425,5410,98/15,2,Участок для голосования №243,"Общежитие №4 УО ""Белорусский государственный медицинский университет""","г.Минск, ул.Лермонтова, 28",53.891902,27.514542
5426,5410,98/16,2,Участок для голосования №244,"Общежитие №2 УП ""Минское отделение Белорусской железной дороги""","г.Минск, ул.Р.Люксембург, 146 к.2",53.890095,27.508975
5427,5410,98/17,2,Участок для голосования №245,"ГУО ""Средняя школа №101 г.Минска""","г.Минск, пр.Жукова, 27",53.8859,27.5058
5428,5410,98/18,2,Участок для голосования №246,"ГУО ""Средняя школа №105 г.Минска""","г.Минск, ул.Хмелевского, 12а",53.8887,27.5246
5429,5410,98/19,2,Участок для голосования №247,"ГУО ""Средняя школа №105 г.Минска""","г.Минск, ул.Хмелевского, 12а",53.8887,27.5246
5430,5410,98/20,2,Участок для голосования №248,"ГУО ""Средняя школа №3 г.Минска""","г.Минск, Железнодорожный пер.,16",53.884703,27.523085
5431,5410,98/21,2,Участок для голосования №249,"Общежитие ОАО ""Белэнергострой""","г.Минск, ул.Грушевская, 85",53.8826,27.5167
5432,5410,98/22,2,Участок для голосования №250,"ГУО ""Детская хореографическая школа №1 г.Минска""","г.Минск, ул.Малая, 35",53.8721,27.5156
5433,5410,98/23,2,Участок для голосования №251,"Общежитие ОАО ""Управляющая компания холдинга ""Горизонт""","г.Минск, пер.С.Ковалевской, 55",53.8681,27.5103
5434,5410,98/24,2,Участок для голосования №252,"ГУО ""Средняя школа №83 г.Минска им.Г.К.Жукова""","г.Минск, ул.Железнодорожная, 124",53.8768,27.505
5435,5410,98/25,2,Участок для голосования №253,"ГУО ""Средняя школа №83 г.Минска им.Г.К.Жукова""","г.Минск, ул.Железнодорожная, 124",53.8768,27.505
5436,5410,98/26,2,Участок для голосования №254,"Общежитие филиала №3 ""Минский комбинат силикатных изделий"" ОАО ""Белорусский цементный завод""","г.Минск, ул.Прилукская, 50",53.8823,27.4983
5437,5410,98/27,2,Участок для голосования №255,"УЗ ""Городской клинический кожно-венерологический диспансер""","г.Минск, ул.Прилукская, 46а",53.8835,27.4971
5438,5410,98/28,2,Участок для голосования №256,"Филиал УО ""БГТУ"" ""Белорусский государственный колледж промышленности строительных материалов""","г.Минск, ул.Гурского, 21 к.2",53.8815,27.4908
5439,5410,98/29,2,Участок для голосования №257,"ГУО ""Средняя школа №26 г.Минска""","г.Минск, ул.Л.Сапеги, 15",53.8776,27.4885
5440,5410,98/30,2,Участок для голосования №258,"ГУО ""Средняя школа №26 г.Минска""","г.Минск, ул.Л.Сапеги, 15",53.8776,27.4885
5441,5410,98/31,2,Участок для голосования №259,"ГУО ""Средняя школа №26 г.Минска""","г.Минск, ул.Л.Сапеги, 15",53.8776,27.4885
5442,5410,98/32,2,Участок для голосования №260,"ГУО ""Детская музыкальная школа искусств №1 г.Минска""","г.Минск, ул.Алибегова, 44",53.8725,27.4702
5443,5410,98/33,2,Участок для голосования №261,"ГУО ""Средняя школа №67 г.Минска""","г.Минск, ул.Алибегова, 5а",53.870776,27.479415
5444,5410,98/34,2,Участок для голосования №262,"ГУО ""Средняя школа №67 г.Минска""","г.Минск, ул.Алибегова, 5а",53.870776,27.479415
5445,5410,98/35,2,Участок для голосования №263,"ГУО ""Средняя школа №145 г.Минска""","г.Минск, ул.Алибегова, 5",53.871121,27.480547
5446,5410,98/36,2,Участок для голосования №264,"ГУО ""Средняя школа №145 г.Минска""","г.Минск, ул.Алибегова,5",53.871121,27.480547
5447,5410,98/37,2,Участок для голосования №265,"ГУО ""Гимназия №12 г.Минска""","г.Минск, ул.Голубева, 10",53.8664,27.4784
5448,5410,98/38,2,Участок для голосования №266,"ГУО ""Гимназия №12 г.Минска""","г.Минск, ул.Голубева, 10",53.8664,27.4784
5449,5410,98/39,2,Участок для голосования №267,"ГУО ""Гимназия №12 г.Минска""","г.Минск, ул.Голубева, 10",53.8664,27.4784
5450,5410,98/40,2,Участок для голосования №268,"ГУО ""Средняя школа №165 г.Минска""","г.Минск, пр.имени газеты ""Звязда"" 6",53.8696,27.4681
5451,5410,98/41,2,Участок для голосования №269,"ГУО ""Средняя школа №165 г.Минска""","г.Минск, пр.имени газеты ""Звязда"" 6",53.8696,27.4681
5452,5410,98/42,2,Участок для голосования №270,"ГУО ""Лицей №1 г.Минска""","г.Минск, пр.имени газеты ""Звязда"" 6а",53.8703,27.4677
5453,5410,98/43,2,Участок для голосования №271,"ГУО ""Средняя школа №170 г.Минска""","г.Минск, ул.Рафиева, 7",53.8717,27.4663
5454,5410,98/44,2,Участок для голосования №272,"ГУО ""Средняя школа №170 г.Минска""","г.Минск, ул.Рафиева, 7",53.8717,27.4663
